id,datetime,text,retweets
1232030071055159302,Mon Feb 24 19:50:33 +0000 2020,"Please join us in signing @ConsumerReports' petition to @AmericanAir, @Delta &amp; @united urging them to not charge extra so that children ages 13 and under can sit with their parents. @WilliamJMcGee @ncl_tweets @FlyersRights @CRAdvocacy https://t.co/wLGOBYzNOg",3
1232030060598657026,Mon Feb 24 19:50:31 +0000 2020,"*book ticket on @AmericanAir*
*AA changes flight to a time that doesn’t work*
“I just want to cancel the flight there. The new time doesn’t work for me.”
AA: “Actually, you’re a poor student, and booked basic, so we completely own you now. Tough stuff!.” DON’T FLY ANERICAN FOLKS",0
1232030026008276995,Mon Feb 24 19:50:22 +0000 2020,Omg my @AmericanAir flight is NOT FULL? And the wonderful attendants are letting people change seats if they’re in a middle seat?? #twilightzone,0
1232028573994799110,Mon Feb 24 19:44:36 +0000 2020,What a beauty love this addition to American Airlines at the time  @AmericanAir #AATeam #AAFamily 💙❤️🦅 https://t.co/r0AqIrzew2,0
1232027655186214912,Mon Feb 24 19:40:57 +0000 2020,In case anyone forgot @AmericanAir is complete trash. My dad watched them drop and damage my wheelchair and the man who did it said “you’re welcome anyway” while I was clearly upset. @coffeespoonie,0
1232027174267281409,Mon Feb 24 19:39:02 +0000 2020,American Airlines To Retire 4 Regional Jets Early Due To 737 MAX Grounding https://t.co/bJnWrYSxQa #737MAXGrounding #AmericanAirlines #AmericanEagle,1
1232025688313606144,Mon Feb 24 19:33:08 +0000 2020,"First plane ride of 2020....and it’s delayed an hour. That’s gotta mean all my flights the rest of the year will be on time, doesn’t it, @AmericanAir?",0
1232025395773497344,Mon Feb 24 19:31:58 +0000 2020,"Hey 
@united
@Delta
@AmericanAir

#AskBeforeShrinkingSeats
Quit inserting more seat rows and shrinking seating space !!!

Lifehacker: Ask Before You Recline Your Airplane Seat.
https://t.co/SMgXV6TB3w

via @GoogleNews",0
1232025188302295044,Mon Feb 24 19:31:09 +0000 2020,Just landed at PHL. What an experience to fly above the clouds (with minimal turbulence both ways!) - Great service @AmericanAir https://t.co/clfSWayqvx,0
1232024619151790080,Mon Feb 24 19:28:53 +0000 2020,"I personally feel victimized when we flew with our 4 month old! #WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/DTK0SW3lVI",0
1232023913607188482,Mon Feb 24 19:26:05 +0000 2020,"Hey @AmericanAir you efed up my 2080 graphics card, GMMK keyboard and they broke the lock on my suitcase... like how....",2
1232023732606111749,Mon Feb 24 19:25:22 +0000 2020,#AmericanAirlines  you should tell your flight attendant Jody on flight 763 to Pittsburgh that if you aren’t in first class you’re not a second class citizen you aren’t the only show in town #dobetter #weallgettousethebathroom,0
1232023687710244864,Mon Feb 24 19:25:11 +0000 2020,All it took was one @AmericanAir flight - main cabin extra - and their over hyped status program and lack of overhead storage for my seat I paid extra for and super inefficient boarding process to remind me why I love @SouthwestAir SO SO much! I’m so sorry! I’ll be back SWA!!!,0
1232023461251469316,Mon Feb 24 19:24:17 +0000 2020,"My knees took a pounding, but thank god this guy was comfortable after RECLINING! #dontreclineseat @AmericanAir PHL to IND https://t.co/GHB5zgt5jN",0
1232022669807247364,Mon Feb 24 19:21:09 +0000 2020,Hey @AmericanAir my hubby and I are on a delayed BA flight to Chicago and need help with our res! We’re going to miss our connection home.... can you help?!,2
1232021296013283329,Mon Feb 24 19:15:41 +0000 2020,"welcome to the ""hall of shame"" @TurkishAirlines
you're just behind @Ryanair , @americanair and @united https://t.co/1SJQeI16iv",0
1232020884506005511,Mon Feb 24 19:14:03 +0000 2020,"Not much longer until this month's First Class International Pairing Series with @AmericanAir! On February 27th, enjoy a five-course dinner along with pairings based on the wine regions along the coast of Spain 🇪🇸🍷

🎟️: https://t.co/89FP3pWRnl https://t.co/CMgpamisFJ",0
1232020241305096192,Mon Feb 24 19:11:30 +0000 2020,"It’s a small thing, but I really love when my @AmericanAir flight has a woman pilot/captain 👩‍✈️",0
1232020068873142273,Mon Feb 24 19:10:48 +0000 2020,Hey @AmericanAir - in your business class seats on a 777-300ER aircraft - does the privacy wall between the center two seats retract in some way? Trying to figure out where best to sit with 2 people (aisle across from one another or next to each other in the center?). Help plz!,0
1232019357141782533,Mon Feb 24 19:07:59 +0000 2020,"Hey Johnny thanks for the smooth ride to the airport.  @johnnyalonso @GoldenRan  @ErinobrienActor 
#Empath #americanairlines #producer #host #positivethinking #travel #crazyactorlife #bluesbrotherscool https://t.co/kPGaqnr6dH",0
1232018707871825924,Mon Feb 24 19:05:24 +0000 2020,Spread this around. American Airlines failed to put my friends luggage on the plane and THIS is there response.  Read BOTH insulting condescending responses. Complete lack of customer serivce and responsibility. DO NOT fly @AmericanAir https://t.co/VJk7rDdrQj,0
1232018513663008775,Mon Feb 24 19:04:38 +0000 2020,"On the one hand, why is ⁦@AmericanAir⁩ so eager for me to go to Alaska? On the other hand, why is the offer so tempting? https://t.co/5gpKHd7wPv",0
1232018406964125697,Mon Feb 24 19:04:12 +0000 2020,"Hey @AmericanAir maybe next time you have two empty seats next to each other assign those seats to a couple who booked the flight together, instead of seating them in different aisles and having to later pay to change seats. First time I’ve ever paid to change seats.",0
1232016683553955840,Mon Feb 24 18:57:21 +0000 2020,Not sure why this keeps happening to me.  I left my blazer on @AmericanAir 2528 upon landing.  The flight attendant never bothered to give it to me and I exited from door 2 not remembering it as well.  How do I get it back?,0
1232015149420052480,Mon Feb 24 18:51:16 +0000 2020,When you board the plane...then deplane...then need a new plane...then they post every 15 min that you are boarding 15 min ago...Just tell us the truth @AmericanAir &amp; I’ll go get some lunch. #aa2083,0
1232012510171222021,Mon Feb 24 18:40:46 +0000 2020,Flying home today #flying #AmericanAirlines #plane #bostonairport https://t.co/YvVruqfm42,0
1232011924277252097,Mon Feb 24 18:38:27 +0000 2020,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/G1D7sX9Lub",0
1232011890466992128,Mon Feb 24 18:38:19 +0000 2020,"#AmericanAirlines, #easyJet and #Delta stocks plunge on speculation that more #flights might be curtailed as governments try to limit the spread of #coronavirus epidemic. #travel #finance #capitalmarkets https://t.co/U0Fg83vaUG",0
1232011827460157440,Mon Feb 24 18:38:03 +0000 2020,"Dear @americanair An early March show in Frankfurt has been postponed. Will you waive the $$ for changes? 
From @Light_Building https://t.co/5evEGMvIz8 #LB18",0
1232011320838574086,Mon Feb 24 18:36:03 +0000 2020,"#WTFee! Demand @AmericanAir, @united @Delta put #SafetyOverProfits, seat children with parents at no additional cost. Sign @CRAdvocacy petition. https://t.co/UXT2KWCgx2",0
1232010557852704769,Mon Feb 24 18:33:01 +0000 2020,American Airlines 777-200ER N789AN departs London Heathrow #AmericanAirlines #Heathrow https://t.co/M5VdqbGpTP,0
1232010213860859930,Mon Feb 24 18:31:39 +0000 2020,Bro the AC on the plane on my flight home “failed”. I don’t know what smells worse. 1200 gamers at dreamhack or 300 people on an airplane with no deodorant. Do yourself a favor and never fly @AmericanAir,2
1232010012442202112,Mon Feb 24 18:30:51 +0000 2020,Had two @AmericanAir flights this morning. Both times the overhead it too full and they won’t let me take my carry on.  Why advertise everyone gets one if you can’t accommodate.  No respect for passengers,0
1232009804677292032,Mon Feb 24 18:30:01 +0000 2020,"Join attendees from 35+ countries across 600+ unique organizations, you’ll have even more opportunities to mix, mingle, and make new connections. 

See you there! https://t.co/jWImvD4RZT
@stripe @Optum @awscloud @Target @Apple @AmericanAir @Microsoft https://t.co/sCRiQOukHm",0
